CompTotal,SurveyEase,PurchaseInfluence,ResponseId,TBranch,SurveyLength,ICorPM
,Easy,,106,,Appropriate in length,
35000.0,Neither easy nor difficult,I have little or no influence,107,Yes,Appropriate in length,Independent contributor
60000.0,Easy,I have little or no influence,108,No,Appropriate in length,
42000.0,Neither easy nor difficult,I have little or no influence,109,Yes,Too long,Independent contributor
,Easy,,110,,Appropriate in length,
62500.0,Easy,I have some influence,111,Yes,Appropriate in length,People manager
330000.0,Easy,I have little or no influence,112,Yes,Appropriate in length,Independent contributor
130000.0,Neither easy nor difficult,I have some influence,113,Yes,Appropriate in length,Independent contributor
90000.0,Easy,I have little or no influence,114,Yes,Appropriate in length,Independent contributor
110000.0,Neither easy nor difficult,I have some influence,115,Yes,Appropriate in length,Independent contributor
,Easy,,116,,Appropriate in length,
6000000.0,Easy,I have a great deal of influence,117,Yes,Appropriate in length,Independent contributor
,Easy,,118,,Too long,
,Neither easy nor difficult,,119,Yes,Appropriate in length,Independent contributor
85000.0,Easy,I have some influence,120,Yes,Appropriate in length,People manager
67000.0,Easy,I have some influence,121,Yes,Appropriate in length,Independent contributor
17500.0,Neither easy nor difficult,I have little or no influence,122,Yes,Appropriate in length,Independent contributor
1650.0,Easy,I have a great deal of influence,123,Yes,Appropriate in length,People manager
,Neither easy nor difficult,,124,No,Appropriate in length,
,Easy,I have some influence,125,,Appropriate in length,
100000.0,Neither easy nor difficult,I have little or no influence,126,Yes,Appropriate in length,Independent contributor
,Easy,I have a great deal of influence,127,,Appropriate in length,
,Easy,,128,,Appropriate in length,
,Easy,,129,,Too short,
48000.0,Easy,I have some influence,130,No,Too long,
,Easy,I have a great deal of influence,131,No,Appropriate in length,
98000.0,Easy,I have some influence,132,Yes,Appropriate in length,Independent contributor
144000.0,Neither easy nor difficult,I have little or no influence,133,No,Too long,
,Neither easy nor difficult,,134,Yes,Too long,Independent contributor
98000.0,Easy,I have some influence,135,No,Appropriate in length,
,Easy,,136,,Appropriate in length,
,Neither easy nor difficult,I have a great deal of influence,137,Yes,Appropriate in length,Independent contributor
55000.0,Easy,I have little or no influence,138,Yes,Too long,Independent contributor
,Easy,,139,No,Appropriate in length,
,Neither easy nor difficult,I have a great deal of influence,140,Yes,Appropriate in length,Independent contributor
,Easy,I have some influence,141,No,Appropriate in length,
180000.0,Easy,I have some influence,142,No,Appropriate in length,
8625.0,Easy,I have a great deal of influence,143,Yes,Too long,Independent contributor
45000.0,Neither easy nor difficult,I have little or no influence,144,Yes,Appropriate in length,Independent contributor
64000.0,Easy,I have little or no influence,145,No,Appropriate in length,
,Neither easy nor difficult,I have some influence,147,No,Appropriate in length,
,Neither easy nor difficult,I have some influence,148,Yes,Appropriate in length,Independent contributor
,Easy,,149,,Appropriate in length,
,Easy,I have some influence,150,No,Appropriate in length,
100000.0,Neither easy nor difficult,I have some influence,151,Yes,Appropriate in length,People manager
,Neither easy nor difficult,I have a great deal of influence,152,Yes,Too long,
200000.0,Easy,I have some influence,153,Yes,Appropriate in length,People manager
