ResponseId,ProfessionalTech
160,Developer portal or other central places to find tools/services
162,Automated testing
162,Microservices
162,Observability tools
163,Automated testing
163,DevOps function
163,Microservices
164,Continuous integration (CI) and (more often) continuous delivery
167,Automated testing
167,Continuous integration (CI) and (more often) continuous delivery
167,DevOps function
167,Developer portal or other central places to find tools/services
172,Automated testing
172,Continuous integration (CI) and (more often) continuous delivery
172,Microservices
172,Observability tools
178,Automated testing
178,Continuous integration (CI) and (more often) continuous delivery
178,DevOps function
178,Developer portal or other central places to find tools/services
178,Innersource initiative
178,Microservices
178,Observability tools
179,Continuous integration (CI) and (more often) continuous delivery
179,DevOps function
179,Microservices
179,Observability tools
181,Automated testing
181,Continuous integration (CI) and (more often) continuous delivery
181,Developer portal or other central places to find tools/services
181,Microservices
181,Observability tools
183,Automated testing
183,Continuous integration (CI) and (more often) continuous delivery
183,DevOps function
183,Observability tools
185,Automated testing
185,Continuous integration (CI) and (more often) continuous delivery
185,Developer portal or other central places to find tools/services
185,Microservices
188,Automated testing
188,Continuous integration (CI) and (more often) continuous delivery
188,DevOps function
188,Observability tools
189,Continuous integration (CI) and (more often) continuous delivery
189,DevOps function
189,Microservices
191,None of these
192,Automated testing
192,DevOps function
192,Microservices
192,Observability tools
193,DevOps function
193,Microservices
196,Continuous integration (CI) and (more often) continuous delivery
196,DevOps function
196,Microservices
196,Observability tools
200,Automated testing
200,Continuous integration (CI) and (more often) continuous delivery
200,DevOps function
201,Automated testing
201,Continuous integration (CI) and (more often) continuous delivery
201,DevOps function
201,Developer portal or other central places to find tools/services
201,Innersource initiative
201,Microservices
202,None of these
203,Automated testing
203,Continuous integration (CI) and (more often) continuous delivery
203,DevOps function
204,Continuous integration (CI) and (more often) continuous delivery
204,DevOps function
205,None of these
207,Automated testing
207,Continuous integration (CI) and (more often) continuous delivery
207,DevOps function
209,Automated testing
209,Continuous integration (CI) and (more often) continuous delivery
209,DevOps function
209,Microservices
209,Observability tools
210,Continuous integration (CI) and (more often) continuous delivery
210,DevOps function
210,Microservices
212,Automated testing
212,Continuous integration (CI) and (more often) continuous delivery
212,DevOps function
212,Developer portal or other central places to find tools/services
212,Microservices
212,Observability tools
213,Automated testing
213,Continuous integration (CI) and (more often) continuous delivery
213,Observability tools
214,None of these
218,Automated testing
218,Continuous integration (CI) and (more often) continuous delivery
218,DevOps function
218,Developer portal or other central places to find tools/services
218,Microservices
218,Observability tools
222,Automated testing
222,Continuous integration (CI) and (more often) continuous delivery
222,DevOps function
222,Developer portal or other central places to find tools/services
222,Observability tools
223,DevOps function
223,Microservices
224,Automated testing
224,Continuous integration (CI) and (more often) continuous delivery
225,Automated testing
225,Continuous integration (CI) and (more often) continuous delivery
225,DevOps function
225,Developer portal or other central places to find tools/services
228,Continuous integration (CI) and (more often) continuous delivery
228,DevOps function
232,DevOps function
233,Automated testing
233,Continuous integration (CI) and (more often) continuous delivery
233,DevOps function
233,Observability tools
239,Automated testing
239,Continuous integration (CI) and (more often) continuous delivery
239,DevOps function
239,Innersource initiative
243,Automated testing
243,Continuous integration (CI) and (more often) continuous delivery
243,Observability tools
247,Automated testing
247,Continuous integration (CI) and (more often) continuous delivery
247,Microservices
254,Automated testing
254,Continuous integration (CI) and (more often) continuous delivery
254,DevOps function
254,Microservices
255,Developer portal or other central places to find tools/services
257,Automated testing
257,Continuous integration (CI) and (more often) continuous delivery
257,DevOps function
257,Developer portal or other central places to find tools/services
257,Innersource initiative
257,Microservices
257,Observability tools
258,Continuous integration (CI) and (more often) continuous delivery
258,Developer portal or other central places to find tools/services
258,Microservices
259,Automated testing
259,DevOps function
259,Microservices
259,Observability tools
261,None of these
262,Automated testing
262,Continuous integration (CI) and (more often) continuous delivery
262,Developer portal or other central places to find tools/services
266,Automated testing
266,Continuous integration (CI) and (more often) continuous delivery
266,DevOps function
266,Observability tools
268,None of these
269,Automated testing
269,Continuous integration (CI) and (more often) continuous delivery
269,Microservices
271,Automated testing
273,Continuous integration (CI) and (more often) continuous delivery
273,DevOps function
273,Microservices
274,Automated testing
274,Continuous integration (CI) and (more often) continuous delivery
274,DevOps function
274,Developer portal or other central places to find tools/services
274,Microservices
274,Observability tools
275,Automated testing
275,DevOps function
275,Innersource initiative
275,Microservices
276,Automated testing
276,Continuous integration (CI) and (more often) continuous delivery
276,DevOps function
277,Automated testing
277,Continuous integration (CI) and (more often) continuous delivery
277,DevOps function
277,Developer portal or other central places to find tools/services
277,Microservices
277,Observability tools
278,Automated testing
278,Continuous integration (CI) and (more often) continuous delivery
278,DevOps function
279,Continuous integration (CI) and (more often) continuous delivery
279,DevOps function
279,Developer portal or other central places to find tools/services
280,Automated testing
280,Continuous integration (CI) and (more often) continuous delivery
280,Developer portal or other central places to find tools/services
280,Microservices
280,Observability tools
282,Automated testing
